nano|IJTC
sa|DT
amon|PNN
san|DT
kun|DT
kaarogan|NMBR
segun|VB
eksperyensya|NN
sin|DT
nagkuriot|VB
nagruha-duha|DT
lalaksihon|MDFR
hihinayon|MDFR
paglakaw|VB
nanggirabo|MDFR
nahipatulon|MDFR
sin-o|PNN
man-aram||MDFR
badang|NN
tay|NN
gunyong|NN
nay|NN
tinuko|VB
sito|DT
putok|NN
pagdul-ong|VB
selyado|MDFR
nagpuruptok|MDFR
ginhihimoan|VB
poyde|MDFR
nga—diyos|NN
kabugtoan|NN
nakakarawan|VB
tipa-baryo|VB
paghangos-hangos|MDFR
nalalain|MDFR
nagtitigdulot|VB
hinumdoman|NN
komo|DT
san—tubtob|PNN
antes|DT
puruptok|NN
nagtitigdako|MDFR
kinipat|VB
sayo|PNN
palamiraw|MDFR
nagsasaralakot|MDFR
rapa-dapa|NN
dumalagan|VB
olaling|MDFR
kortong|MDFR
tingali|VB
ig-inop|VB
kuno—di|DT
Katsisin-o|PNN
rason|NN
ginbubukod|MDFR
ngirisi|NN
ginlapay|MDFR
kaurogan|NMBR
miyembro|NN
iiba|MDFR
pakigkuntisay|VB
pang-arti|MDFR
motion|FW
matuodsiring|NN
koit|DT
babyngan|DT
balo|VB

naguliatan|MDFR
naato|VB
daku|MDFR
nagkakahahadlok|MDFR
tawu|NN
namimingaw|MDFR
kinabuhingan|NN
kaharok|NN
huan|NN
haroan|NN
ginsulud|VB
ngatan|NMBR
naghulat|VB
maygad|DT
lalaki|NN
nakokontakt|FW
vliff|NN
anak|NN
kAsangkayan|NN
kakaasawa|VB
brotsa|NN
nababaling|VB

hiya|PNN
sinyang|DT
nganhe|PNN
guin-abat|VB
guin-kukulba|MDFR
rebacca|NN
guin-kuha|VB
stathis|FW
pagkaestorya|VB
guin-aabat|NN
masulob-on|MDFR
guin-papakita|MDFR
mailob|MDFR
guin-huhunahuna|NN
guin-aatubang|NN
beck|NN
guin-hihigugma|MDFR
guin-pakita|VB
guin-padara|VB
sapatos|NN
maangay|MDFR
guin-kakapoy|MDFR
guin-tutumar|MDFR
guin-yayaknan|MDFR

kahigugmaon|MDFR
guin-sisingabot|MDFR
guin-hahatag|MDFR

nakapantulon|MDFR
guin-panhunahuna|VB
guin-duhol|VB
guin-abrehan|VB
nimu|NN
baya-e|VB
guin-buhat|VB
nga|DT
herani|MDFR
anuman|NMBR
kabasahe|NN
iguin-balik|VB
guin-sul-ot|VB
kubtob|DT
tatagan|VB
ako|PNN
nahaanod|MDFR
gehapon|MDFR
uma|NN
han|DT

kaestorya|NN
ngani|DT
nakaon|VB
maglipayun|MDFR

hira|PNN
era|PNN
gen-uukyan|MDFR
eya|PNN
bumal|MDFR
hen|DT
granda|FW

murto|NN
mada|NN
piritan|NN
paonan-o|MDFR
karsada|NN
tagaan|VB
ukoy-ukoy|NN

higlalaba|MDFR
hanin|DT
akon|PNN
lokal|NN
agud|DT
on|FW
kalalakin|MDFR
aring|DT

pansin|NN
doble|NMBR
maaaram|MDFR
sumuring|VB
pagkatak|VB
hunhuna-an|NN
ura|NN
him|FW
salamat-salamat|IJTN

kumuro|NMBR
bibit|NN
nainggat|MDFR
ngha|DT
bunlot|NN

nag-intsimis|VB
virgini|FW
nagdali|MDFR
pagdaup|VB
kahadluk|NN
naaawud|MDFR
ecclesiastes|FW
makalolooy|MDFR
dumamu|NMBR
bond|FW
kadtoon|VB
ginhadi-an|NN
nagpupulu-puko|VB

gin-aparan|VB
ukig|NN
sadto|DT
ginkuha-an|VB
marahibo|NN
bulawanon|MDFR
mangina-hanglan|MDFR
nagsusubay|VB
kabaybayonan|NN
kabarasan|NN
nabatasan|NN
sino|PNN
kahigayon|NN
apisar|NN
pakyas|NMBR
señor|FW
patapod|NN
paananohon|MDFR
nagparahunahuna|VB
sunogon|VB
anano|DT
gumikan|VB
pagkinahanglanon|MDFR
kalamposan|NMBR
matuohan|MDFR
pagduha-duha|VB
bueno|FW
nagproblema|VB
pagsupak|VB
naliwanan|MDFR
paghibalik|VB
sumangpot|VB
pinakahalarum|MDFR
gingugul-an|MDFR
tutut-duan|VB
tut-do|NN
kung|FW
spiritu|NN
labtan|VB
amagahon|DT
panaderia|NN
atbang|DT
pan|PT

narururasa|FW
nangngangaturog|VB
inmukoy|MDFR
kapiz|MM
nahangin-hangin|MDFR
naagutiot|MDFR
ginduduyugan|MDFR
tikarukba|NN
bumba|NN
agi-anan|NN
naka-anaran|NN
sigi|IJTN
pagpapasyada|MDFR
jollibee|NN
guti-ay|MDFR
celebrasyon|FW

ang|DT
lingaw|NN
kamulay|NN
wans|NN
pangnguli|MDFR
oro-irignom|NN
balyoan|VB
tanum|VB
nakakakuruwartahay|MDFR
kinaadlaw|DT
nagnginginorotob|MDFR
nakakabulig-bulig|MDFR
taga-hipos|NN
himoon|VB
berde|MDFR
granate|FW
hantak|NN

postorawo|NN
bacante|MDFR
igin-undong|VB
nangamen|VB
nahihinumdum|MDFR
nanhipig|VB
nahi-ara|MDFR
maparalit|NN
nagmumurosot|MDFR
esKwelahan|NN

katutnga|NMBR
tikarokba|MDFR
nagkokonsyerto|VB
huringngay|NN
tinalikog|VB
hinkikilal-an|VB
pagtabon|VB
trabahoan|NN
nakikigminulay|VB
iyan|DT
pamorobuot|NN
sisiguroon|VB
malalahimoon|VB
mamimirkado|VB
abot|DT
ikadena|VB
nangalot|VB
anon|NN
ginhapuhapan|VB
espeho|NN
iginkab-it|VB
nangngispeho|VB
nakitnan|VB
kurahab|NN
iglalambid|VB
hingkit-an|VB
nagtitikarosa|VB
kalit|MDFR
