nga|LNKR
na|RP
si|RP
an|DT
ha|DT
han|DT
ni|DT
hi|DT
kan|DT
kay|CJTN
ngan|CJTN
kon|CJTN
para|CJTN
ngani|CJTN
pero|CJTN
o|CJTN
basi|CJTN
samtang|CJTN
sanglit|CJTN
kunta|CJTN
salit|CJTN
imbes|CJTN
la|CLTC
man|CLTC
pa|CLTC
liwat|CLTC
gad|CLTC
gud|CLTC
ba|CLTC
naman|CLTC
kuno|CLTC
ngay-an|CLTC
lugod|CLTC
udog|CLTC
balitaw|CLTC
daman|CLTC
ak|PNN
ka|PNN
hiya|PNN
iya|PNN
ko|PNN
ano|PNN
adto|PNN
akon|PNN
hira|PNN
kami|PNN
ini|PNN
adi|PNN
ira|PNN
niya|PNN
kamo|PNN
iyo|PNN
ta|PNN
hain|PNN
nira|PNN
hini|PNN
hadto|PNN
didi|PNN
ngadi|PNN
hin-o|PNN
diin|PNN
niyo|PNN
dinhi|PNN
kanan|PNN
kanda|PNN
nganhi|PNN
aadto|PNN
aada|PNN
aadi|PNN
san-o|PNN
kanay|PNN
aanhi|PNN
nakon|PNN
kakan-o|PNN
naano|PNN
yadto|PNN
tagpira|PNN
kirita|PNN
karami|PNN
mga|MDFR
waray|MDFR
diri|MDFR
may|MDFR
oo|MDFR
daw|MDFR
sige|MDFR
anay|MDFR
ayaw|MDFR
amo|MDFR
maupay|MDFR
tapos|MDFR
maaram|MDFR
asya|MDFR
iba|MDFR
baga|MDFR
bisan|MDFR
damo|MDFR
bangin|MDFR
tikang|MDFR
pira|MDFR
niyan|MDFR
kanina|MDFR
dako|MDFR
kada|MDFR
karuyag|MDFR
danay|MDFR
mas|MDFR
dayon|MDFR
gihap|MDFR
patay|MDFR
pati|MDFR
pwede|MDFR
mahusay|MDFR
grabe|MDFR
bag-o|MDFR
parehas|MDFR
harani|MDFR
pirme|MDFR
ngahaw|MDFR
gutiay|MDFR
kahuaman|MDFR
pareho|MDFR
ngain|MDFR
maiha|MDFR
upay|MDFR
mahal|MDFR
bug-os|MDFR
tigda|MDFR
puno|MDFR
katapos|MDFR
igbaw|MDFR
utro|MDFR
kinahanglan|MDFR
butnga|MDFR
kaupay|MDFR
angay|MDFR
lagas|MDFR
hasta|MDFR
dapit|MDFR
dali|MDFR
guti|MDFR
alas|MDFR
makarit|MDFR
makusog|MDFR
harayo|MDFR
kulang|MDFR
kulop|MDFR
sigurado|MDFR
dagko|MDFR
sakto|MDFR
puro|MDFR
kilo|MDFR
daan|MDFR
dama|MDFR
tagsa|MDFR
atubangan|MDFR
masumo|MDFR
magutom|MDFR
kadamo|MDFR
tama|MDFR
buhi|MDFR
kilala|MDFR
mapaso|MDFR
syempre|MDFR
dungan|MDFR
importante|MDFR
haros|MDFR
gudti|MDFR
madali|MDFR
dati|MDFR
katima|MDFR
pagkatapos|MDFR
kagab-i|MDFR
marisyo|MDFR
makapoy|MDFR
tuhay|MDFR
barato|MDFR
siguro|MDFR
malain|MDFR
maraot|MDFR
halaba|MDFR
maraksot|MDFR
gabay|MDFR
paborito|MDFR
parti|MDFR
mamingaw|MDFR
mapira|MDFR
bawbaw|MDFR
mahitungod|MDFR
malipayon|MDFR
burod|MDFR
riko|MDFR
masakit|MDFR
hubog|MDFR
siyempre|MDFR
bakay|MDFR
kalbo|MDFR
klaro|MDFR
mismo|MDFR
urhi|MDFR
libre|MDFR
bawal|MDFR
baltok|MDFR
maaringasa|MDFR
ungod|MDFR
mabaho|MDFR
madagmit|MDFR
masayon|MDFR
mausa|MDFR
mahugaw|MDFR
nakain|MDFR
kadam-an|MDFR
